"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP2,TP1,TP3";"TP_4545";3;"";;;
2;"R9,R19,R22,R2,R21,R17,R20,R16,R18,R3";"R0402";10;"10k";;;
3;"R7,R4,R10,R6,R11,R12,R5";"R0402";7;"1k";;;
4;"R1,R14";"R0402";2;"47k";;;
5;"R15,R13";"R0402";2;"120";;;
6;"D2,D3,D6";"LED0603";3;"Green";;;
7;"X2,X1";"HC49UP";2;"16MHz";;;
8;"U6";"PW_R-PDSO-G20";1;"74241PW";;;
9;"D8,D5";"LED0603";2;"Blue";;;
10;"JP7,JP6";"JP1";2;"";;;
11;"C5,C8,C7,C4";"C0402";4;"22p";;;
12;"C1,C9,C6,C2";"C0402";4;".1u";;;
13;"U3,U1";"SOIC8-6.0";2;"MCP2551";;;
14;"U5,U2";"SOIC18";2;"MCP2515";;;
15;"JP3";"ARDUINO_JP3";1;"ARDUINO_JP3";;;
16;"R8";"R0402";1;".3";;;
17;"D4,D7";"LED0603";2;"Red";;;
18;"JP2";"ARDUINO_JP2";1;"ARDUINO_JP2";;;
19;"JP5";"ARDUINO_JP5";1;"ARDUINO_JP5";;;
20;"CON2,CON3,CON1";"PHOENIX_2_45";3;"CON23.5MM";;;
21;"CON4";"PH-8-SM";1;"CON8";;;
22;"JP1";"ARDUINO_JP1";1;"ARDUINO_JP1";;;
23;"U4";"TO-263";1;"TL750M";;;
24;"C3";"CP1206";1;"33u";;;
